Entreprise,Secteur,Département,Ville,Adresse,Email,Téléphone,Lien Google Maps,Note Google,Nombre Avis,Potentiel Budget,Site Web,Nb Avis +,Nb Avis -,Thèmes Positifs,Thèmes Négatifs,Résumé Avis +,Résumé Avis -,Description GMB,Note Prospection
PIC Réalisations,Promoteur immobilier,38,Grenoble,"3 Rue des Pins, 38100 Grenoble, France",NON TROUVÉ,06 30 08 47 24,📍 Voir sur Maps,4.2,5,À QUALIFIER,AUCUN,4,1,"professionnel, compétent, confiance, agréable",communication,Une expérience très satisfaisante sous tous points de vue Des professionnels compétents qui aiment leur métier et avec qui les échanges sont à la fois constructifs et agréables La confiance est alors précieuse Merci à Da…,"Bientot 2 mois que mon fils a emmenage dans un immeuble neuf dont la ""maitrise"" d'ouvrage a ete faite par cette entreprise et toujours pas de fibre bien que ca fasse partie du code de la construction. Ils ont sans doute …",,"PIC Réalisations : 5 avis Google | ✅ Force : professionnel, compétent, confiance, agréable | ⚠️ Plaintes : communication → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
Elodie Bordy Immobilier,Agence immobilière,25,Besançon,"95 Rue de Dole, 25000 Besançon, France",NON TROUVÉ,06 78 37 51 46,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"professionnel, efficace, écoute, excellent",—,"Nous avons confié à Elodie la recherche de notre nouvelle maison puis la vente de mon appartement. Elle s’est montré très efficace dans la Recherche et la vente. En plus d’être très professionnel et efficace, elle est to…",,,"Elodie Bordy Immobilier : 4 avis Google | ✅ Force : professionnel, efficace, écoute, excellent | 🔥 0 site web → perd des mandats chaque jour"
Coeurs D'élites- Nathalie MARCELLIER,Mandataire immobilier,69,Lyon,"61 Cr Lafayette, 69006 Lyon, France",NON TROUVÉ,06 77 35 25 22,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"professionnel, recommande, écoute",—,Nous avons été particulièrement satisfait de notre collaboration avec Nathaly Marcellier-Navon qui en vrai professionnelle nous à bien guidés et accompagnés depuis la recherche des acquéreurs jusqu'à la vente de nos appa…,,,"Coeurs D'élites- Nathalie MARCELLIER : 4 avis Google | ✅ Force : professionnel, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
Cohen Guy,Mandataire immobilier,13,Aix-en-Provence,"40 Av. Dr Renée Antoine, 13100 Aix-en-Provence, France",NON TROUVÉ,06 14 18 33 00,📍 Voir sur Maps,1.8,4,À QUALIFIER,AUCUN,1,3,—,éviter,Chlotide St Martin connaît pas !!,Ne répond jamais au téléphone ni aux mails. A éviter.,,Cohen Guy : 4 avis Google | ⚠️ Plaintes : éviter → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour
BV DIAG,Mandataire immobilier,6,Antibes,"201, AVENUE DES, LES CHAMPS FLEURIS, Av. des Martyrs de la Résistance, 06600 Antibes, France",NON TROUVÉ,07 70 20 02 23,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"rapide, efficace",—,"Un diagnostique correspondant à mes attentes : pro, rapide, efficace et sympa.",,,"BV DIAG : 4 avis Google | ✅ Force : rapide, efficace | 🔥 0 site web → perd des mandats chaque jour"
Bechir Djebali Smart Proprio,Mandataire immobilier,68,Mulhouse,"Rue de Lorient, 68200 Mulhouse, France",NON TROUVÉ,06 18 28 73 86,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"professionnel, recommande, disponible, excellent",—,Expérience réussie ; M. BECHIR est une personne sympathique et   très professionnel ; je recommande vivement. Géraldine FLUCK | Je le recommande vivement. Agent disponible et très investi.  Bravo à lui. Bonne continuatio…,,,"Bechir Djebali Smart Proprio : 4 avis Google | ✅ Force : professionnel, recommande, disponible, excellent | 🔥 0 site web → perd des mandats chaque jour"
JB GESTION 66,Administrateur de biens,66,Perpignan,"32 Av. Paul Alduy 66100, 66000 Perpignan, France",NON TROUVÉ,06 98 07 80 92,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"excellent, recommande, professionnel, écoute",—,Excellent gestionnaire pour toute vos démarches administratives je recommande que ce soit pour particulier ou micro-entreprise | Je recommande fortement ce bureau de gestion administrative pour le travail de qualité à pr…,,,"JB GESTION 66 : 4 avis Google | ✅ Force : excellent, recommande, professionnel, écoute | 🔥 0 site web → perd des mandats chaque jour"
Nadia LAYOUNI - Assistance administrative,Administrateur de biens,6,Antibes,"12 Bd Gustave Chancel Galerie Chancel, 06600 Antibes, France",NON TROUVÉ,07 86 72 75 76,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,—,—,"Les bureaux sont très beaux, l'accueille est convivial avec une fontaine à eau à notre disposition surtout en cette forte chaleur. Au niveau des prestations, les diplômes des chefs d'entreprises font que le panel de prob…",,,Nadia LAYOUNI - Assistance administrative : 4 avis Google | 🔥 0 site web → perd des mandats chaque jour
Conciergerie Tic Tac,Location saisonnière gestion,25,Besançon,"99 Grande Rue, 25000 Besançon, France",NON TROUVÉ,06 76 76 46 39,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"sérieux, service, recommande",—,"Contact rassurant et très sérieux. Les services sont à la hauteur de nos attentes et même plus. Nous recommandons à 100% ! | Pour une gestion optimale de vos biens immobiliers. Rigueur, réactivité et optimisation Je reco…",,,"Conciergerie Tic Tac : 4 avis Google | ✅ Force : sérieux, service, recommande | 🔥 0 site web → perd des mandats chaque jour"
HAON IMMOBILIER FAMILY,Promoteur immobilier,63,Clermont-Ferrand,"5 Rue de Savoie, 63360 Gerzat, France",NON TROUVÉ,07 63 31 77 33,📍 Voir sur Maps,5.0,4,À QUALIFIER,AUCUN,4,0,"professionnel, sérieux, qualité, compétent",—,"Professionnels sérieux, ravis de notre achat.  Prestations de qualité matériaux solides plusieurs mois après on est toujours aussi contents merci à vous ! | Prestation de haute qualité! Compétents dans leur métier et sav…",,,"HAON IMMOBILIER FAMILY : 4 avis Google | ✅ Force : professionnel, sérieux, qualité, compétent | 🔥 0 site web → perd des mandats chaque jour"
Bérengère MIRAULT,Mandataire immobilier,37,Tours,"le petit monard, 37550 Saint-Avertin, France",NON TROUVÉ,06 15 54 30 19,📍 Voir sur Maps,5.0,3,À QUALIFIER,AUCUN,3,0,"professionnel, disponible, confiance",—,"Mme Mirault s'est montrée professionnelle, disponible et investie tout au long de notre projet. | Très bonne conseillere immobilier. Nous sommes très heureux de notre achat. Personne de grande confiance. Merci pour votre…",,,"Bérengère MIRAULT : 3 avis Google | ✅ Force : professionnel, disponible, confiance | 🔥 0 site web → perd des mandats chaque jour"
Salomé Xavier,Mandataire immobilier,87,Limoges,"1 Av. de la Mazelle, 87280 Limoges, France",NON TROUVÉ,06 73 83 36 96,📍 Voir sur Maps,5.0,3,À QUALIFIER,AUCUN,3,0,"rapide, recommande, parfait",—,"À la suite d’une très mauvaise expérience avec une agence immobilière d’Argenton, nous avons confié la vente de notre maison à X.Salomé qui s’est complètement investi pour ce faire. En peu de temps il a trouvé plusieurs …",,,"Salomé Xavier : 3 avis Google | ✅ Force : rapide, recommande, parfait | 🔥 0 site web → perd des mandats chaque jour"
Location Appartement brest,Gestionnaire de biens,29,Brest,"4 Rue de l'Observatoire, 29200 Brest, France",NON TROUVÉ,06 62 62 22 71,📍 Voir sur Maps,3.7,3,À QUALIFIER,AUCUN,2,1,—,—,Nickel,,,Location Appartement brest : 3 avis Google | 🔥 0 site web → perd des mandats chaque jour
"Carla D. Services administratifs, gestion, secrétariat trilingue",Administrateur de biens,64,Biarritz,"Rue de l'Étape, 64210 Bidart, France",NON TROUVÉ,06 66 88 99 81,📍 Voir sur Maps,5.0,3,À QUALIFIER,AUCUN,3,0,"recommande, excellent, rapide",—,"Sérieuse, réactive et très pro je recommande ! | Carla nous a aidés sur certains projets et traductions. Nous avons adoré l'avoir parmi nous. Ses compétences linguistiques, son sens de la gestion et son incroyable capaci…",,,"Carla D. Services administratifs, gestion, secrétariat trilingue : 3 avis Google | ✅ Force : recommande, excellent, rapide | 🔥 0 site web → perd des mandats chaque jour"
Laconciergerie66000,Location saisonnière gestion,66,Perpignan,"Rue Paul Rubens, 66000 Perpignan, France",NON TROUVÉ,06 66 17 37 31,📍 Voir sur Maps,5.0,3,À QUALIFIER,AUCUN,3,0,"parfait, recommande, confiance, professionnel",—,"Équipe de confiance, la gestion de mon appartement est juste parfaite ! Je recommande fortement | Gestion au top Concierge impliqué et professionnelle Je recommande Super équipe | Personne de confiance Je recommande les …",,,"Laconciergerie66000 : 3 avis Google | ✅ Force : parfait, recommande, confiance, professionnel | 🔥 0 site web → perd des mandats chaque jour"
